Year,Units,Sex,Age,Country,Region,Species,Fatality,Region of Birth,Ethnicity,Region of travel,Value
2016,"Incidence per 100,000",,,England,North East,,,,,,0.834411431
2016,"Incidence per 100,000",,,England,,,,,,,2.766516151
2016,"Incidence per 100,000",,,Scotland,,,,,,,1.073140045
2016,"Incidence per 100,000",,,Wales,,,,,,,0.803045147
2016,"Incidence per 100,000",,,Northern Ireland,,,,,,,0.32221045
2016,"Incidence per 100,000",,,,,,,,,,2.464657978
2017,"Incidence per 100,000",,,England,London,,,,,,10.44759088
2017,"Incidence per 100,000",,,England,South East,,,,,,1.706893371
2017,"Incidence per 100,000",,,England,West Midlands,,,,,,2.747109307
2017,"Incidence per 100,000",,,England,North West,,,,,,1.763418895
2017,"Incidence per 100,000",,,England,East of England,,,,,,1.848119587
2017,"Incidence per 100,000",,,England,Yorkshire and Humber,,,,,,1.449506709
2017,"Incidence per 100,000",,,England,South West,,,,,,1.313111181
2017,"Incidence per 100,000",,,England,East Midlands,,,,,,1.04785205
2017,"Incidence per 100,000",,,England,North East,,,,,,0.983088236
2017,"Incidence per 100,000",,,England,,,,,,,3.070869299
2017,"Incidence per 100,000",,,Scotland,,,,,,,0.921692966
2017,"Incidence per 100,000",,,Wales,,,,,,,0.767959452
2017,"Incidence per 100,000",,,Northern Ireland,,,,,,,0.534520968
2017,"Incidence per 100,000",,,,,,,,,,2.713497556
2014,Number of cases,,,,,,,Africa,,,403
2014,Number of cases,,,,,,,United Kingdom,,,189
2014,Number of cases,,,,,,,Indian subcontinent,,,46
2014,Number of cases,,,,,,,Europe (non UK),,,10
2014,Number of cases,,,,,,,Other,,,9
2015,Number of cases,,,,,,,Africa,,,345
2015,Number of cases,,,,,,,United Kingdom,,,130
2015,Number of cases,,,,,,,Indian subcontinent,,,37
2015,Number of cases,,,,,,,Europe (non UK),,,11
2015,Number of cases,,,,,,,Other,,,8
2016,Number of cases,,,,,,,Africa,,,465
2016,Number of cases,,,,,,,United Kingdom,,,162
2016,Number of cases,,,,,,,Indian subcontinent,,,35
2016,Number of cases,,,,,,,Europe (non UK),,,15
2016,Number of cases,,,,,,,Other,,,16
2017,Number of cases,,,,,,,Africa,,,525
2017,Number of cases,,,,,,,United Kingdom,,,199
2017,Number of cases,,,,,,,Indian subcontinent,,,45
2017,Number of cases,,,,,,,Europe (non UK),,,22
2017,Number of cases,,,,,,,Other,,,13
2014,Number of cases,,,,,,,,Black African/African descent,,680
2014,Number of cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,90
2014,Number of cases,,,,,,,,Other/mixed,,57
2014,Number of cases,,,,,,,,White British,,145
2015,Number of cases,,,,,,,,Black African/African descent,,518
2015,Number of cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,72
2015,Number of cases,,,,,,,,Other/mixed,,42
2015,Number of cases,,,,,,,,White British,,93
2016,Number of cases,,,,,,,,Black African/African descent,,763
2016,Number of cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,80
2016,Number of cases,,,,,,,,Other/mixed,,63
2016,Number of cases,,,,,,,,White British,,105
2017,Number of cases,,,,,,,,Black African/African descent,,900
2017,Number of cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,84
2017,Number of cases,,,,,,,,Other/mixed,,77
2017,Number of cases,,,,,,,,White British,,131
2014,Number of cases,,,,,,,,,Western Africa,619
2014,Number of cases,,,,,,,,,Eastern Africa,127
2014,Number of cases,,,,,,,,,Middle Africa,76
2014,Number of cases,,,,,,,,,Northern Africa,14
2014,Number of cases,,,,,,,,,Southern Africa,4
2014,Number of cases,,,,,,,,,Africa unspecified,8
2014,Number of cases,,,,,,,,,Southern Asia,90
2014,Number of cases,,,,,,,,,South-Eastern Asia,3
2014,Number of cases,,,,,,,,,Western Asia,1
2014,Number of cases,,,,,,,,,Caribbean,0
2014,Number of cases,,,,,,,,,Central America,1
2014,Number of cases,,,,,,,,,South America,6
2014,Number of cases,,,,,,,,,Oceania,1
2014,Number of cases,,,,,,,,,Not stated,22
2015,Number of cases,,,,,,,,,Western Africa,473
2015,Number of cases,,,,,,,,,Eastern Africa,77
2015,Number of cases,,,,,,,,,Middle Africa,71
2015,Number of cases,,,,,,,,,Northern Africa,9
2015,Number of cases,,,,,,,,,Southern Africa,1
2015,Number of cases,,,,,,,,,Africa unspecified,5
2015,Number of cases,,,,,,,,,Southern Asia,78
2015,Number of cases,,,,,,,,,South-Eastern Asia,1
2015,Number of cases,,,,,,,,,Western Asia,1
2015,Number of cases,,,,,,,,,Caribbean,0
2015,Number of cases,,,,,,,,,Central America,0
2015,Number of cases,,,,,,,,,South America,7
2015,Number of cases,,,,,,,,,Oceania,0
2015,Number of cases,,,,,,,,,Not stated,2
2016,Number of cases,,,,,,,,,Western Africa,621
2016,Number of cases,,,,,,,,,Eastern Africa,142
2016,Number of cases,,,,,,,,,Middle Africa,113
2016,Number of cases,,,,,,,,,Northern Africa,17
2016,Number of cases,,,,,,,,,Southern Africa,3
2016,Number of cases,,,,,,,,,Africa unspecified,6
2016,Number of cases,,,,,,,,,Southern Asia,82
2016,Number of cases,,,,,,,,,South-Eastern Asia,2
2016,Number of cases,,,,,,,,,Western Asia,0
2016,Number of cases,,,,,,,,,Caribbean,2
2016,Number of cases,,,,,,,,,Central America,0
2016,Number of cases,,,,,,,,,South America,2
2016,Number of cases,,,,,,,,,Oceania,2
2016,Number of cases,,,,,,,,,Not stated,19
2017,Number of cases,,,,,,,,,Western Africa,797
2017,Number of cases,,,,,,,,,Eastern Africa,148
2017,Number of cases,,,,,,,,,Middle Africa,91
2017,Number of cases,,,,,,,,,Northern Africa,14
2017,Number of cases,,,,,,,,,Southern Africa,7
2017,Number of cases,,,,,,,,,Africa unspecified,11
2017,Number of cases,,,,,,,,,Southern Asia,87
2017,Number of cases,,,,,,,,,South-Eastern Asia,3
2017,Number of cases,,,,,,,,,Western Asia,3
2017,Number of cases,,,,,,,,,Caribbean,0
2017,Number of cases,,,,,,,,,Central America,0
2017,Number of cases,,,,,,,,,South America,5
2017,Number of cases,,,,,,,,,Oceania,2
2017,Number of cases,,,,,,,,,Not stated,24
2014,Percentage of total cases,,,,,,,,,Western Africa,63.68312757
2014,Percentage of total cases,,,,,,,,,Eastern Africa,13.06584362
2014,Percentage of total cases,,,,,,,,,Middle Africa,7.818930041
2014,Percentage of total cases,,,,,,,,,Northern Africa,1.440329218
2014,Percentage of total cases,,,,,,,,,Southern Africa,0.411522634
2014,Percentage of total cases,,,,,,,,,Africa unspecified,0.823045267
2014,Percentage of total cases,,,,,,,,,Southern Asia,9.259259259
2014,Percentage of total cases,,,,,,,,,South-Eastern Asia,0.308641975
2014,Percentage of total cases,,,,,,,,,Western Asia,0.102880658
2014,Percentage of total cases,,,,,,,,,Caribbean,0
2014,Percentage of total cases,,,,,,,,,Central America,0.102880658
2014,Percentage of total cases,,,,,,,,,South America,0.617283951
2014,Percentage of total cases,,,,,,,,,Oceania,0.102880658
2014,Percentage of total cases,,,,,,,,,Not stated,2.263374486
2015,Percentage of total cases,,,,,,,,,Western Africa,65.24137931
2015,Percentage of total cases,,,,,,,,,Eastern Africa,10.62068966
2015,Percentage of total cases,,,,,,,,,Middle Africa,9.793103448
2015,Percentage of total cases,,,,,,,,,Northern Africa,1.24137931
2015,Percentage of total cases,,,,,,,,,Southern Africa,0.137931034
2015,Percentage of total cases,,,,,,,,,Africa unspecified,0.689655172
2015,Percentage of total cases,,,,,,,,,Southern Asia,10.75862069
2015,Percentage of total cases,,,,,,,,,South-Eastern Asia,0.137931034
2015,Percentage of total cases,,,,,,,,,Western Asia,0.137931034
2015,Percentage of total cases,,,,,,,,,Caribbean,0
2015,Percentage of total cases,,,,,,,,,Central America,0
2015,Percentage of total cases,,,,,,,,,South America,0.965517241
2015,Percentage of total cases,,,,,,,,,Oceania,0
2015,Percentage of total cases,,,,,,,,,Not stated,0.275862069
2016,Percentage of total cases,,,,,,,,,Western Africa,61.42433234
2016,Percentage of total cases,,,,,,,,,Eastern Africa,14.04549951
2016,Percentage of total cases,,,,,,,,,Middle Africa,11.17705242
2016,Percentage of total cases,,,,,,,,,Northern Africa,1.681503462
2016,Percentage of total cases,,,,,,,,,Southern Africa,0.296735905
2016,Percentage of total cases,,,,,,,,,Africa unspecified,0.59347181
2016,Percentage of total cases,,,,,,,,,Southern Asia,8.110781405
2016,Percentage of total cases,,,,,,,,,South-Eastern Asia,0.197823937
2016,Percentage of total cases,,,,,,,,,Western Asia,0
2016,Percentage of total cases,,,,,,,,,Caribbean,0.197823937
2016,Percentage of total cases,,,,,,,,,Central America,0
2016,Percentage of total cases,,,,,,,,,South America,0.197823937
2016,Percentage of total cases,,,,,,,,,Oceania,0.197823937
2016,Percentage of total cases,,,,,,,,,Not stated,1.879327399
2017,Percentage of total cases,,,,,,,,,Western Africa,66.86241611
2017,Percentage of total cases,,,,,,,,,Eastern Africa,12.41610738
2017,Percentage of total cases,,,,,,,,,Middle Africa,7.634228188
2017,Percentage of total cases,,,,,,,,,Northern Africa,1.174496644
2017,Percentage of total cases,,,,,,,,,Southern Africa,0.587248322
2017,Percentage of total cases,,,,,,,,,Africa unspecified,0.922818792
2017,Percentage of total cases,,,,,,,,,Southern Asia,7.298657718
2017,Percentage of total cases,,,,,,,,,South-Eastern Asia,0.251677852
2017,Percentage of total cases,,,,,,,,,Western Asia,0.251677852
2017,Percentage of total cases,,,,,,,,,Caribbean,0
2017,Percentage of total cases,,,,,,,,,Central America,0
2017,Percentage of total cases,,,,,,,,,South America,0.419463087
2017,Percentage of total cases,,,,,,,,,Oceania,0.167785235
2017,Percentage of total cases,,,,,,,,,Not stated,2.013422819
2014,Percentage of total cases,,,,,,,Africa,,,61.33942161
2014,Percentage of total cases,,,,,,,United Kingdom,,,28.76712329
2014,Percentage of total cases,,,,,,,Indian subcontinent,,,7.00152207
2014,Percentage of total cases,,,,,,,Europe (non UK),,,1.522070015
2014,Percentage of total cases,,,,,,,Other,,,1.369863014
2015,Percentage of total cases,,,,,,,Africa,,,64.97175141
2015,Percentage of total cases,,,,,,,United Kingdom,,,24.48210923
2015,Percentage of total cases,,,,,,,Indian subcontinent,,,6.967984934
2015,Percentage of total cases,,,,,,,Europe (non UK),,,2.071563089
2015,Percentage of total cases,,,,,,,Other,,,1.506591337
2016,Percentage of total cases,,,,,,,Africa,,,67.0995671
2016,Percentage of total cases,,,,,,,United Kingdom,,,23.37662338
2016,Percentage of total cases,,,,,,,Indian subcontinent,,,5.050505051
2016,Percentage of total cases,,,,,,,Europe (non UK),,,2.164502165
2016,Percentage of total cases,,,,,,,Other,,,2.308802309
2017,Percentage of total cases,,,,,,,Africa,,,65.29850746
2017,Percentage of total cases,,,,,,,United Kingdom,,,24.75124378
2017,Percentage of total cases,,,,,,,Indian subcontinent,,,5.597014925
2017,Percentage of total cases,,,,,,,Europe (non UK),,,2.736318408
2017,Percentage of total cases,,,,,,,Other,,,1.616915423
2014,Percentage of total cases,,,,,,,,Black African/African descent,,69.95884774
2014,Percentage of total cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,9.259259259
2014,Percentage of total cases,,,,,,,,Other/mixed,,5.864197531
2014,Percentage of total cases,,,,,,,,White British,,14.91769547
2015,Percentage of total cases,,,,,,,,Black African/African descent,,71.44827586
2015,Percentage of total cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,9.931034483
2015,Percentage of total cases,,,,,,,,Other/mixed,,5.793103448
2015,Percentage of total cases,,,,,,,,White British,,12.82758621
2016,Percentage of total cases,,,,,,,,Black African/African descent,,75.46983185
2016,Percentage of total cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,7.912957468
2016,Percentage of total cases,,,,,,,,Other/mixed,,6.231454006
2016,Percentage of total cases,,,,,,,,White British,,10.38575668
2017,Percentage of total cases,,,,,,,,Black African/African descent,,75.5033557
2017,Percentage of total cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,7.046979866
2017,Percentage of total cases,,,,,,,,Other/mixed,,6.459731544
2017,Percentage of total cases,,,,,,,,White British,,10.98993289
2000,Number of cases,,,,,,,,,,2047
2001,Number of cases,,,,,,,,,,2044
2002,Number of cases,,,,,,,,,,1940
2003,Number of cases,,,,,,,,,,1720
2004,Number of cases,,,,,,,,,,1656
2005,Number of cases,,,,,,,,,,1753
2006,Number of cases,,,,,,,,,,1754
2007,Number of cases,,,,,,,,,,1547
2008,Number of cases,,,,,,,,,,1370
2009,Number of cases,,,,,,,,,,1495
2010,Number of cases,,,,,,,,,,1759
2011,Number of cases,,,,,,,,,,1673
2012,Number of cases,,,,,,,,,,1377
2013,Number of cases,,,,,,,,,,1501
2014,Number of cases,,,,,,,,,,1586
2015,Number of cases,,,,,,,,,,1400
2016,Number of cases,,,,,,,,,,1618
2017,Number of cases,,,,,,,,,,1792
2000,Number of cases,,,,,,Fatal,,,,16
2001,Number of cases,,,,,,Fatal,,,,9
2002,Number of cases,,,,,,Fatal,,,,9
2003,Number of cases,,,,,,Fatal,,,,16
2004,Number of cases,,,,,,Fatal,,,,5
2005,Number of cases,,,,,,Fatal,,,,10
2006,Number of cases,,,,,,Fatal,,,,8
2007,Number of cases,,,,,,Fatal,,,,5
2008,Number of cases,,,,,,Fatal,,,,6
2009,Number of cases,,,,,,Fatal,,,,6
2010,Number of cases,,,,,,Fatal,,,,7
2011,Number of cases,,,,,,Fatal,,,,8
2012,Number of cases,,,,,,Fatal,,,,2
2013,Number of cases,,,,,,Fatal,,,,7
2014,Number of cases,,,,,,Fatal,,,,3
2015,Number of cases,,,,,,Fatal,,,,6
2016,Number of cases,,,,,,Fatal,,,,6
2017,Number of cases,,,,,,Fatal,,,,6
2000,Number of cases,,,,,P. falciparum,,,,,1555
2001,Number of cases,,,,,P. falciparum,,,,,1572
2002,Number of cases,,,,,P. falciparum,,,,,1465
2003,Number of cases,,,,,P. falciparum,,,,,1338
2004,Number of cases,,,,,P. falciparum,,,,,1220
2005,Number of cases,,,,,P. falciparum,,,,,1337
2006,Number of cases,,,,,P. falciparum,,,,,1386
2007,Number of cases,,,,,P. falciparum,,,,,1138
2008,Number of cases,,,,,P. falciparum,,,,,1087
2009,Number of cases,,,,,P. falciparum,,,,,1179
2010,Number of cases,,,,,P. falciparum,,,,,1263
2011,Number of cases,,,,,P. falciparum,,,,,1146
2012,Number of cases,,,,,P. falciparum,,,,,1002
2013,Number of cases,,,,,P. falciparum,,,,,1192
2014,Number of cases,,,,,P. falciparum,,,,,1169
2015,Number of cases,,,,,P. falciparum,,,,,1068
2016,Number of cases,,,,,P. falciparum,,,,,1308
2017,Number of cases,,,,,P. falciparum,,,,,1452
2000,Number of cases,,,,,P. vivax,,,,,322
2001,Number of cases,,,,,P. vivax,,,,,261
2002,Number of cases,,,,,P. vivax,,,,,284
2003,Number of cases,,,,,P. vivax,,,,,205
2004,Number of cases,,,,,P. vivax,,,,,276
2005,Number of cases,,,,,P. vivax,,,,,258
2006,Number of cases,,,,,P. vivax,,,,,217
2007,Number of cases,,,,,P. vivax,,,,,256
2008,Number of cases,,,,,P. vivax,,,,,177
2009,Number of cases,,,,,P. vivax,,,,,205
2010,Number of cases,,,,,P. vivax,,,,,348
2011,Number of cases,,,,,P. vivax,,,,,415
2012,Number of cases,,,,,P. vivax,,,,,270
2013,Number of cases,,,,,P. vivax,,,,,179
2014,Number of cases,,,,,P. vivax,,,,,225
2015,Number of cases,,,,,P. vivax,,,,,207
2016,Number of cases,,,,,P. vivax,,,,,166
2017,Number of cases,,,,,P. vivax,,,,,164
2000,Number of cases,,,,,P. ovale,,,,,123
2001,Number of cases,,,,,P. ovale,,,,,157
2002,Number of cases,,,,,P. ovale,,,,,133
2003,Number of cases,,,,,P. ovale,,,,,134
2004,Number of cases,,,,,P. ovale,,,,,120
2005,Number of cases,,,,,P. ovale,,,,,116
2006,Number of cases,,,,,P. ovale,,,,,106
2007,Number of cases,,,,,P. ovale,,,,,108
2008,Number of cases,,,,,P. ovale,,,,,76
2009,Number of cases,,,,,P. ovale,,,,,69
2010,Number of cases,,,,,P. ovale,,,,,99
2011,Number of cases,,,,,P. ovale,,,,,77
2012,Number of cases,,,,,P. ovale,,,,,66
2013,Number of cases,,,,,P. ovale,,,,,78
2014,Number of cases,,,,,P. ovale,,,,,130
2015,Number of cases,,,,,P. ovale,,,,,95
2016,Number of cases,,,,,P. ovale,,,,,88
2017,Number of cases,,,,,P. ovale,,,,,108
2000,Number of cases,,,,,P. malariae,,,,,30
2001,Number of cases,,,,,P. malariae,,,,,37
2002,Number of cases,,,,,P. malariae,,,,,43
2003,Number of cases,,,,,P. malariae,,,,,27
2004,Number of cases,,,,,P. malariae,,,,,28
2005,Number of cases,,,,,P. malariae,,,,,29
2006,Number of cases,,,,,P. malariae,,,,,24
2007,Number of cases,,,,,P. malariae,,,,,30
2008,Number of cases,,,,,P. malariae,,,,,20
2009,Number of cases,,,,,P. malariae,,,,,36
2010,Number of cases,,,,,P. malariae,,,,,37
2011,Number of cases,,,,,P. malariae,,,,,31
2012,Number of cases,,,,,P. malariae,,,,,32
2013,Number of cases,,,,,P. malariae,,,,,39
2014,Number of cases,,,,,P. malariae,,,,,41
2015,Number of cases,,,,,P. malariae,,,,,23
2016,Number of cases,,,,,P. malariae,,,,,41
2017,Number of cases,,,,,P. malariae,,,,,55
2000,Number of cases,,,,,P. knowlesi,,,,,0
2001,Number of cases,,,,,P. knowlesi,,,,,0
2002,Number of cases,,,,,P. knowlesi,,,,,0
2003,Number of cases,,,,,P. knowlesi,,,,,0
2004,Number of cases,,,,,P. knowlesi,,,,,0
2005,Number of cases,,,,,P. knowlesi,,,,,0
2006,Number of cases,,,,,P. knowlesi,,,,,1
2007,Number of cases,,,,,P. knowlesi,,,,,0
2008,Number of cases,,,,,P. knowlesi,,,,,0
2009,Number of cases,,,,,P. knowlesi,,,,,0
2010,Number of cases,,,,,P. knowlesi,,,,,0
2011,Number of cases,,,,,P. knowlesi,,,,,0
2012,Number of cases,,,,,P. knowlesi,,,,,0
2013,Number of cases,,,,,P. knowlesi,,,,,0
2014,Number of cases,,,,,P. knowlesi,,,,,0
2015,Number of cases,,,,,P. knowlesi,,,,,0
2016,Number of cases,,,,,P. knowlesi,,,,,1
2017,Number of cases,,,,,P. knowlesi,,,,,2
2000,Number of cases,,,,,Mixed,,,,,16
2001,Number of cases,,,,,Mixed,,,,,16
2002,Number of cases,,,,,Mixed,,,,,13
2003,Number of cases,,,,,Mixed,,,,,15
2004,Number of cases,,,,,Mixed,,,,,12
2005,Number of cases,,,,,Mixed,,,,,10
2006,Number of cases,,,,,Mixed,,,,,20
2007,Number of cases,,,,,Mixed,,,,,15
2008,Number of cases,,,,,Mixed,,,,,9
2009,Number of cases,,,,,Mixed,,,,,6
2010,Number of cases,,,,,Mixed,,,,,12
2011,Number of cases,,,,,Mixed,,,,,4
2012,Number of cases,,,,,Mixed,,,,,7
2013,Number of cases,,,,,Mixed,,,,,13
2014,Number of cases,,,,,Mixed,,,,,21
2015,Number of cases,,,,,Mixed,,,,,7
2016,Number of cases,,,,,Mixed,,,,,13
2017,Number of cases,,,,,Mixed,,,,,11
2000,Number of cases,,,,,P. unspecified,,,,,1
2001,Number of cases,,,,,P. unspecified,,,,,1
2002,Number of cases,,,,,P. unspecified,,,,,2
2003,Number of cases,,,,,P. unspecified,,,,,1
2004,Number of cases,,,,,P. unspecified,,,,,0
2005,Number of cases,,,,,P. unspecified,,,,,3
2006,Number of cases,,,,,P. unspecified,,,,,0
2007,Number of cases,,,,,P. unspecified,,,,,0
2008,Number of cases,,,,,P. unspecified,,,,,1
2009,Number of cases,,,,,P. unspecified,,,,,0
2010,Number of cases,,,,,P. unspecified,,,,,0
2011,Number of cases,,,,,P. unspecified,,,,,0
2012,Number of cases,,,,,P. unspecified,,,,,0
2013,Number of cases,,,,,P. unspecified,,,,,0
2014,Number of cases,,,,,P. unspecified,,,,,0
2015,Number of cases,,,,,P. unspecified,,,,,0
2016,Number of cases,,,,,P. unspecified,,,,,1
2017,Number of cases,,,,,P. unspecified,,,,,0
2000,Number of cases,,,,,,Non-fatal,,,,2031
2001,Number of cases,,,,,,Non-fatal,,,,2035
2002,Number of cases,,,,,,Non-fatal,,,,1931
2003,Number of cases,,,,,,Non-fatal,,,,1704
2004,Number of cases,,,,,,Non-fatal,,,,1651
2005,Number of cases,,,,,,Non-fatal,,,,1743
2006,Number of cases,,,,,,Non-fatal,,,,1746
2007,Number of cases,,,,,,Non-fatal,,,,1542
2008,Number of cases,,,,,,Non-fatal,,,,1364
2009,Number of cases,,,,,,Non-fatal,,,,1489
2010,Number of cases,,,,,,Non-fatal,,,,1752
2011,Number of cases,,,,,,Non-fatal,,,,1665
2012,Number of cases,,,,,,Non-fatal,,,,1375
2013,Number of cases,,,,,,Non-fatal,,,,1494
2014,Number of cases,,,,,,Non-fatal,,,,1583
2015,Number of cases,,,,,,Non-fatal,,,,1394
2016,Number of cases,,,,,,Non-fatal,,,,1612
2017,Number of cases,,,,,,Non-fatal,,,,1786
2014,Number of cases,,,,,,,,,,1582
2014,Number of cases,,0 to 4,,,,,,,,37
2014,Number of cases,,5 to 9,,,,,,,,42
2014,Number of cases,,10 to 14,,,,,,,,52
2014,Number of cases,,15 to 19,,,,,,,,92
2014,Number of cases,,20 to 24,,,,,,,,132
2014,Number of cases,,25 to 29,,,,,,,,153
2014,Number of cases,,30 to 34,,,,,,,,173
2014,Number of cases,,35 to 39,,,,,,,,145
2014,Number of cases,,40 to 44,,,,,,,,167
2014,Number of cases,,45 to 49,,,,,,,,189
2014,Number of cases,,50 to 54,,,,,,,,146
2014,Number of cases,,55 to 59,,,,,,,,108
2014,Number of cases,,60 to 64,,,,,,,,62
2014,Number of cases,,65 to 69,,,,,,,,44
2014,Number of cases,,70 and over,,,,,,,,40
2014,Number of cases,Male,,,,,,,,,1083
2014,Number of cases,Male,0 to 4,,,,,,,,19
2014,Number of cases,Male,5 to 9,,,,,,,,23
2014,Number of cases,Male,10 to 14,,,,,,,,30
2014,Number of cases,Male,15 to 19,,,,,,,,61
2014,Number of cases,Male,20 to 24,,,,,,,,93
2014,Number of cases,Male,25 to 29,,,,,,,,104
2014,Number of cases,Male,30 to 34,,,,,,,,126
2014,Number of cases,Male,35 to 39,,,,,,,,114
2014,Number of cases,Male,40 to 44,,,,,,,,105
2014,Number of cases,Male,45 to 49,,,,,,,,135
2014,Number of cases,Male,50 to 54,,,,,,,,105
2014,Number of cases,Male,55 to 59,,,,,,,,74
2014,Number of cases,Male,60 to 64,,,,,,,,42
2014,Number of cases,Male,65 to 69,,,,,,,,27
2014,Number of cases,Male,70 and over,,,,,,,,25
2014,Number of cases,Female,,,,,,,,,499
2014,Number of cases,Female,0 to 4,,,,,,,,18
2014,Number of cases,Female,5 to 9,,,,,,,,19
2014,Number of cases,Female,10 to 14,,,,,,,,22
2014,Number of cases,Female,15 to 19,,,,,,,,31
2014,Number of cases,Female,20 to 24,,,,,,,,39
2014,Number of cases,Female,25 to 29,,,,,,,,49
2014,Number of cases,Female,30 to 34,,,,,,,,47
2014,Number of cases,Female,35 to 39,,,,,,,,31
2014,Number of cases,Female,40 to 44,,,,,,,,62
2014,Number of cases,Female,45 to 49,,,,,,,,54
2014,Number of cases,Female,50 to 54,,,,,,,,41
2014,Number of cases,Female,55 to 59,,,,,,,,34
2014,Number of cases,Female,60 to 64,,,,,,,,20
2014,Number of cases,Female,65 to 69,,,,,,,,17
2014,Number of cases,Female,70 and over,,,,,,,,15
2015,Number of cases,,,,,,,,,,1391
2015,Number of cases,,0 to 4,,,,,,,,21
2015,Number of cases,,5 to 9,,,,,,,,32
2015,Number of cases,,10 to 14,,,,,,,,60
2015,Number of cases,,15 to 19,,,,,,,,89
2015,Number of cases,,20 to 24,,,,,,,,112
2015,Number of cases,,25 to 29,,,,,,,,107
2015,Number of cases,,30 to 34,,,,,,,,136
2015,Number of cases,,35 to 39,,,,,,,,139
2015,Number of cases,,40 to 44,,,,,,,,160
2015,Number of cases,,45 to 49,,,,,,,,163
2015,Number of cases,,50 to 54,,,,,,,,142
2015,Number of cases,,55 to 59,,,,,,,,96
2015,Number of cases,,60 to 64,,,,,,,,55
2015,Number of cases,,65 to 69,,,,,,,,45
2015,Number of cases,,70 and over,,,,,,,,34
2015,Number of cases,Male,,,,,,,,,954
2015,Number of cases,Male,0 to 4,,,,,,,,14
2015,Number of cases,Male,5 to 9,,,,,,,,20
2015,Number of cases,Male,10 to 14,,,,,,,,33
2015,Number of cases,Male,15 to 19,,,,,,,,65
2015,Number of cases,Male,20 to 24,,,,,,,,82
2015,Number of cases,Male,25 to 29,,,,,,,,67
2015,Number of cases,Male,30 to 34,,,,,,,,102
2015,Number of cases,Male,35 to 39,,,,,,,,98
2015,Number of cases,Male,40 to 44,,,,,,,,119
2015,Number of cases,Male,45 to 49,,,,,,,,116
2015,Number of cases,Male,50 to 54,,,,,,,,92
2015,Number of cases,Male,55 to 59,,,,,,,,58
2015,Number of cases,Male,60 to 64,,,,,,,,40
2015,Number of cases,Male,65 to 69,,,,,,,,28
2015,Number of cases,Male,70 and over,,,,,,,,20
2015,Number of cases,Female,,,,,,,,,437
2015,Number of cases,Female,0 to 4,,,,,,,,7
2015,Number of cases,Female,5 to 9,,,,,,,,12
2015,Number of cases,Female,10 to 14,,,,,,,,27
2015,Number of cases,Female,15 to 19,,,,,,,,24
2015,Number of cases,Female,20 to 24,,,,,,,,30
2015,Number of cases,Female,25 to 29,,,,,,,,40
2015,Number of cases,Female,30 to 34,,,,,,,,34
2015,Number of cases,Female,35 to 39,,,,,,,,41
2015,Number of cases,Female,40 to 44,,,,,,,,41
2015,Number of cases,Female,45 to 49,,,,,,,,47
2015,Number of cases,Female,50 to 54,,,,,,,,50
2015,Number of cases,Female,55 to 59,,,,,,,,38
2015,Number of cases,Female,60 to 64,,,,,,,,15
2015,Number of cases,Female,65 to 69,,,,,,,,17
2015,Number of cases,Female,70 and over,,,,,,,,14
2016,Number of cases,,,,,,,,,,1613
2016,Number of cases,,0 to 4,,,,,,,,25
2016,Number of cases,,5 to 9,,,,,,,,23
2016,Number of cases,,10 to 14,,,,,,,,54
2016,Number of cases,,15 to 19,,,,,,,,87
2016,Number of cases,,20 to 24,,,,,,,,123
2016,Number of cases,,25 to 29,,,,,,,,152
2016,Number of cases,,30 to 34,,,,,,,,154
2016,Number of cases,,35 to 39,,,,,,,,179
2016,Number of cases,,40 to 44,,,,,,,,186
2016,Number of cases,,45 to 49,,,,,,,,191
2016,Number of cases,,50 to 54,,,,,,,,168
2016,Number of cases,,55 to 59,,,,,,,,116
2016,Number of cases,,60 to 64,,,,,,,,67
2016,Number of cases,,65 to 69,,,,,,,,31
2016,Number of cases,,70 and over,,,,,,,,57
2016,Number of cases,Male,,,,,,,,,1044
2016,Number of cases,Male,0 to 4,,,,,,,,20
2016,Number of cases,Male,5 to 9,,,,,,,,10
2016,Number of cases,Male,10 to 14,,,,,,,,29
2016,Number of cases,Male,15 to 19,,,,,,,,55
2016,Number of cases,Male,20 to 24,,,,,,,,77
2016,Number of cases,Male,25 to 29,,,,,,,,87
2016,Number of cases,Male,30 to 34,,,,,,,,102
2016,Number of cases,Male,35 to 39,,,,,,,,126
2016,Number of cases,Male,40 to 44,,,,,,,,122
2016,Number of cases,Male,45 to 49,,,,,,,,135
2016,Number of cases,Male,50 to 54,,,,,,,,118
2016,Number of cases,Male,55 to 59,,,,,,,,80
2016,Number of cases,Male,60 to 64,,,,,,,,37
2016,Number of cases,Male,65 to 69,,,,,,,,17
2016,Number of cases,Male,70 and over,,,,,,,,29
2016,Number of cases,Female,,,,,,,,,569
